"","Feature","LASSO","Ridge","TrainingSD"
"154","Sale.ConditionAdjLand",8471.13299142666,9655.9161404411,0.0683869645064274
"155","Sale.ConditionAlloca",8354.58881940389,8144.21068368492,0.0920347746598564
"156","Sale.ConditionFamily",0,-1207.30821800215,0.129595076711024
"157","Sale.ConditionNormal",6945.67796608891,6072.96959326297,0.381918550574287
"158","Sale.ConditionPartial",20799.1280605944,13247.4977972552,0.276980211323041
"159","Has.Alley1",-766.969786043199,-1402.92010347668,0.249398148936358
"160","Has.Basement",-34714.2511960508,-14417.7893969849,0.163069483128939
"161","Has.Fireplace",2605.06561891589,3799.05537369324,0.500060095370384
"162","Has.Garage",7302.72554614025,3189.65810204178,0.224824533447371
"163","Has.Pool",24072.251591671,28622.4218833947,0.0583581165644815
"164","Has.Wood.Deck",995.71408025579,1392.22863265686,0.499800146903647
"165","Has.Open.Porch",-187.974259063712,83.137057761224,0.497604254306951
"166","Has.Enclosed.Porch",0,47.6582159717407,0.36797853785605
"167","Has.X3Ssn.Porch",3366.47680310412,4700.63613667239,0.110609559590863
"168","Has.Screen.Porch",7138.93284828015,7344.29526806615,0.285150684581352
